Auction Type,Problem Type,Ite,Cte,DualFnValue,PrimalValue,DualFnValueAvg,PrimalFnValueAvg
First price,L2 Wout Ind,400,0.5,722.9718069919049,678.8350498970412,0,0
First price,L2 Wout Ind,500,0.5,709.246167933967,679.0963979167091,0,0
First price,L2 Wout Ind,600,0.5,701.7021618819529,679.1867755713629,0,0
First price,L2 Wout Ind,700,0.5,694.168562812037,679.2194658583567,0,0
First price,L2 Wout Ind,800,0.5,693.9687300003582,679.2605070578729,0,0
First price,L2 Wout Ind,900,0.5,689.8133154108664,679.277184354688,0,0
First price,L2 Wout Ind,1000,0.5,691.7001634892054,679.2849516738961,0,0
First price,L2 Wout Ind,1100,0.5,689.3007974305681,679.2802008063181,0,0
First price,L2 Wout Ind,1200,0.5,689.3641684763691,679.2862312379029,0,0
First price,L2 Wout Ind,1300,0.5,689.9671602412816,679.2872150181101,0,0
First price,L2 Wout Ind,1400,0.5,686.9129416495596,679.2902015079962,0,0
First price,L2 Wout Ind,1500,0.5,687.1120527879789,679.292155783799,0,0
First price,L2 Wout Ind,1600,0.5,685.6537700652568,679.2916909885744,0,0
First price,L2 Wout Ind,1700,0.5,685.4035770442397,679.2945652483513,0,0
First price,L2 Wout Ind,1800,0.5,686.6061967746375,679.2915038217479,0,0
First price,L2 Wout Ind,1900,0.5,685.3745468723905,679.2947395408819,0,0
First price,L2 Wout Ind,2000,0.5,686.1758101905211,679.2908754734899,0,0
First price,L2 Wout Ind,2100,0.5,684.3383161538102,679.2950733963053,0,0
First price,L2 Wout Ind,2200,0.5,685.3576679197897,679.293178195896,0,0
First price,L2 Wout Ind,2300,0.5,684.8153343303745,679.2945126985733,0,0
First price,L2 Wout Ind,2400,0.5,684.7453379011797,679.2944028539741,0,0
First price,L2 Wout Ind,2500,0.5,684.663141447985,679.2941423049588,0,0
First price,L2 Wout Ind,2600,0.5,684.3771515562576,679.2953777835983,0,0
First price,L2 Wout Ind,2700,0.5,685.1657019843931,679.2948691717074,0,0
First price,L2 Wout Ind,2800,0.5,684.9046211140198,679.2933171787854,0,0
First price,L2 Wout Ind,2900,0.5,684.2449547887734,679.2948913177015,0,0
First price,L2 Wout Ind,3000,0.5,685.1829839136424,679.2947156596392,0,0
First price,L2 Wout Ind,3100,0.5,683.7231815690834,679.2944959674778,0,0
First price,L2 Wout Ind,3200,0.5,684.0054543062911,679.2933518399523,0,0
First price,L2 Wout Ind,3300,0.5,684.8488413502316,679.2959159969105,0,0
First price,L2 Wout Ind,3400,0.5,684.9270990602963,679.2949887312452,0,0
First price,L2 Wout Ind,3500,0.5,684.2277810094756,679.2945145187996,0,0
First price,L2 Wout Ind,3600,0.5,684.0716375643169,679.2946620573593,0,0
First price,L2 Wout Ind,3700,0.5,683.8356393827812,679.2958795420882,0,0
First price,L2 Wout Ind,3800,0.5,683.2651774189851,679.2947285540977,0,0
First price,L2 Wout Ind,3900,0.5,683.0517311964879,679.294686819454,0,0
First price,L2 Wout Ind,4000,0.5,682.4261796887326,679.2952606963399,0,0
First price,L2 Wout Ind,4100,0.5,683.4720913335559,679.2952252622954,0,0
First price,L2 Wout Ind,4200,0.5,683.6903809071537,679.2944729854262,0,0
First price,L2 Wout Ind,4300,0.5,682.9293603152935,679.2954058513906,0,0
First price,L2 Wout Ind,4400,0.5,682.7703383024307,679.2959109671219,0,0
First price,L2 Wout Ind,4500,0.5,682.3249411074221,679.2954841735927,0,0
First price,L2 Wout Ind,4600,0.5,683.6914252547731,679.2959845290452,0,0
First price,L2 Wout Ind,4700,0.5,683.928959511288,679.295018423868,0,0
First price,L2 Wout Ind,4800,0.5,682.4451504813208,679.2962107462417,0,0
First price,L2 Wout Ind,4900,0.5,682.6093131005123,679.2954084663925,0,0
First price,L2 Wout Ind,5000,0.5,682.6374870462141,679.2962434038209,0,0
First price,L2 Wout Ind,5100,0.5,682.91032655954,679.2956198127904,680.1238248681896,679.2962833508464
First price,L2 Wout Ind,5200,0.5,682.997099963698,679.2957033313642,680.1013940718672,679.2963825519464
First price,L2 Wout Ind,5300,0.5,682.5859726594795,679.2956910380217,680.0914915566743,679.2963915808386
First price,L2 Wout Ind,5400,0.5,682.7293075605041,679.2962567583372,680.0904639145995,679.2963704331751
First price,L2 Wout Ind,5500,0.5,682.8766432396401,679.2955081613709,680.0917851935583,679.2963691669247
First price,L2 Wout Ind,5600,0.5,682.6530587877721,679.2961665872745,680.0854850583537,679.2963396518653
First price,L2 Wout Ind,5700,0.5,683.1490199229052,679.2959227812962,680.093687833453,679.2963387072359
First price,L2 Wout Ind,5800,0.5,682.3191157315773,679.2961327973708,680.0769409284642,679.2963339233584
First price,L2 Wout Ind,5900,0.5,682.758163517097,679.2962465354203,680.0756637274276,679.2963315203824
First price,L2 Wout Ind,6000,0.5,682.4509667758143,679.2960792171407,680.0716805836623,679.2963405668979
First price,L2 Wout Ind,6100,0.5,682.4386867288065,679.2962413353171,680.0616721922454,679.2963421033855
First price,L2 Wout Ind,6200,0.5,682.7058257802489,679.2962589251174,680.057993837933,679.296348178993
First price,L2 Wout Ind,6300,0.5,682.6507136959201,679.2963397153062,680.0549504630033,679.2963575877793
First price,L2 Wout Ind,6400,0.5,682.0512333950087,679.2960885137245,680.049799462565,679.2963560065737
First price,L2 Wout Ind,6500,0.5,682.6973956939391,679.2954597423859,680.0481113970493,679.296354112892
First price,L2 Wout Ind,6600,0.5,682.5315528418648,679.2958375387998,680.0449622466504,679.2963531583218
First price,L2 Wout Ind,6700,0.5,682.0001824987546,679.29621813822,680.0447869510515,679.2963531141095
First price,L2 Wout Ind,6800,0.5,682.8189467155869,679.2958513789963,680.0417036042738,679.2963529808212
First price,L2 Wout Ind,6900,0.5,683.3103131060627,679.2960952834683,680.0346193397222,679.2963600356061
First price,L2 Wout Ind,7000,0.5,682.3566335589915,679.2961829256083,680.0323956702766,679.2963628784137
First price,L2 Wout Ind,7100,0.5,682.2271846494934,679.2959614694537,680.0291076097324,679.2963689222915
First price,L2 Wout Ind,7200,0.5,681.9821378867196,679.2957209309488,680.0290433551081,679.2963672925889
First price,L2 Wout Ind,7300,0.5,682.0340847782131,679.2960235318551,680.028615008197,679.2963703421219
First price,L2 Wout Ind,7400,0.5,682.569044716473,679.2957919058845,680.0245266687871,679.2963952605696
First price,L2 Wout Ind,7500,0.5,682.3548230378155,679.2962529405149,680.0215749121269,679.2963964974106
First price,L2 Wout Ind,7600,0.5,681.6209702509775,679.2966461143924,680.0175477522362,679.296401535109
First price,L2 Wout Ind,7700,0.5,681.9308201214849,679.296249052657,680.0127995923531,679.2964029858767
First price,L2 Wout Ind,7800,0.5,682.123962001524,679.2961802098916,680.0085786278978,679.2964097622971
First price,L2 Wout Ind,7900,0.5,682.007755588123,679.2965918861437,680.0060131663959,679.2964106118434
First price,L2 Wout Ind,8000,0.5,682.4383018505516,679.2964553624051,680.0035137883694,679.2964137635572
First price,L2 Wout Ind,8100,0.5,682.0647952453421,679.2960866494313,679.9989407771941,679.2964173652044
First price,L2 Wout Ind,8200,0.5,682.1434093444225,679.2963454732717,679.9963694889232,679.2964001938444
First price,L2 Wout Ind,8300,0.5,682.3531178137077,679.2958648544109,679.9944377545826,679.2964031163201
First price,L2 Wout Ind,8400,0.5,681.4838354283697,679.2964791009299,679.9916048299958,679.2964080090087
First price,L2 Wout Ind,8500,0.5,681.5414443655013,679.2956504813719,679.9894648309323,679.2964136371747
First price,L2 Wout Ind,8600,0.5,682.1815206416973,679.296158861167,679.9855951120614,679.2964174067201
First price,L2 Wout Ind,8700,0.5,682.1894990123342,679.29619753937,679.9817688114417,679.2964207157702
First price,L2 Wout Ind,8800,0.5,682.0815049825574,679.296191466955,679.978481728747,679.2964238425247
First price,L2 Wout Ind,8900,0.5,681.6906005282503,679.2961712839087,679.9774045942045,679.2964266509507
First price,L2 Wout Ind,9000,0.5,681.4521511020534,679.2964528091625,679.9737691032544,679.2964286333454
First price,L2 Wout Ind,9100,0.5,681.9463027520164,679.2953874671302,679.9707618323557,679.2964324939549
First price,L2 Wout Ind,9200,0.5,681.5044406012873,679.2963402214582,679.9673713975556,679.2964371180251
First price,L2 Wout Ind,9300,0.5,682.4421299603373,679.2963004832927,679.963251075515,679.2964406414876
First price,L2 Wout Ind,9400,0.5,682.0525770521815,679.2964233211706,679.960786023642,679.2964426465742
First price,L2 Wout Ind,9500,0.5,681.3597672991855,679.296183598105,679.9571332651865,679.2964449904366
First price,L2 Wout Ind,9600,0.5,681.3552608239838,679.2966258231954,679.9545711013,679.2964466493859
First price,L2 Wout Ind,9700,0.5,681.9082189856597,679.2963376256139,679.9517600703934,679.2964494145626
First price,L2 Wout Ind,9800,0.5,681.6736107689744,679.2958310677705,679.9495006773261,679.2964529771789
First price,L2 Wout Ind,9900,0.5,681.6010660837769,679.2962691520088,679.9475494427018,679.2964534642606
First price,L2 Wout Ind,10000,0.5,682.0034360857451,679.2959925948408,679.9459619114127,679.2964559372585
